Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
1 year ago,talk,NDC Porto 2022,Open Source at commercial organisations,Daniel Albuquerque & Nikos Katirtzis,56:55,57,https://youtube.com/watch?v=dd9MCsDlpOY
1 year ago,talk,NDC Porto 2022,The Last XSS Defense Talk,Jim Manico,57:24,57,https://youtube.com/watch?v=wRC7jyhTkEM
1 year ago,talk,Unknown,Realities & Misconceptions about Enterprise Applications of AI/ML and Data,Brooke Jamieson,50:17,50,https://youtube.com/watch?v=5FQ83PsCCGY
1 year ago,talk,NDC Porto 2022,Implementing async with coroutines and fibers - project Loom in C#,Adam Furmanek,1:04:44,65,https://youtube.com/watch?v=4JrrRaWMzQI
1 year ago,talk,Unknown,"Auditing your data and answering the question, is it the end of the day yet?",Simona Meriam,37:12,37,https://youtube.com/watch?v=ISuScsCeadU
1 year ago,talk,NDC Porto 2022,Impactful mentorship - Eldert Grootenboer & Olena Borzenko,2 sides of a story,37:01,37,https://youtube.com/watch?v=QgwP3QdSKkg
1 year ago,talk,NDC Porto 2022,Embracing Simplicity,Guilherme Ferreira,47:48,48,https://youtube.com/watch?v=I76uhPaWY1o
1 year ago,talk,NDC Porto 2022,Top new CNCF projects to look out for,Annie Talvasto,45:48,46,https://youtube.com/watch?v=P96CByrJNxk
1 year ago,talk,Unknown,The Developer's Guide to Data Modelling with Document Databases,Adrienne Braganza Tacke,43:52,44,https://youtube.com/watch?v=b6YLorczub8
1 year ago,talk,NDC Porto 2022,"DevOps transformation – the good, the bad and the ugly",Todor Todorov,37:37,38,https://youtube.com/watch?v=147txqwmvNQ
1 year ago,talk,NDC Porto 2022,The definitive deep dive into the .git folder,Rob Richardson,1:06:30,67,https://youtube.com/watch?v=YWX-taj2iH0
1 year ago,talk,NDC Porto 2022,Relia...bility?,Ricardo Castro,36:32,37,https://youtube.com/watch?v=oBl9CDK9wqU
1 year ago,talk,NDC Porto 2022,Scaling Reliability Engineering with Tools,Nikos Katirtzis & Daniel Albuquerque,41:08,41,https://youtube.com/watch?v=NdScMUT4qlE
1 year ago,talk,NDC Porto 2022,Uno Platfrom: Your Apps Everywhere,Martin Zikmund,58:10,58,https://youtube.com/watch?v=dX69x-D6COI
1 year ago,talk,NDC Porto 2022,How Farfetch is facing the Cloud cost challenge,Anderson Oliveira,57:55,58,https://youtube.com/watch?v=gkAx6zfMICA
1 year ago,talk,NDC Porto 2022,Supporting your peers' growth as a tech lead,Alon Kiriati,49:53,50,https://youtube.com/watch?v=yIaJgSSVCfw
1 year ago,talk,NDC Porto 2022,Share Pie: The DDD Treasure Hidden in Plain Sight,Nick Tune,32:24,32,https://youtube.com/watch?v=9IU2gsZ15Lw
