Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
3 years ago,talk,NDC London 2020,Getting the best out of Entity Framework Core,Jon P Smith,1:00:12,60,https://youtube.com/watch?v=zySHbwl5IeU
3 years ago,talk,NDC London 2020,The Perimeter Has Been Shattered: Attacking and Defending Mobility and IoT on the Enterprise Network,Unknown,53:48,54,https://youtube.com/watch?v=cRPUHxmGcjo
3 years ago,talk,NDC London 2020,The Art of Code,Dylan Beattie,1:00:49,61,https://youtube.com/watch?v=6avJHaC3C2U
3 years ago,talk,NDC London 2020,Combatting illegal fishing with Machine Learning and Azure,Carmel Eve & Jess Panni,46:09,46,https://youtube.com/watch?v=gJV30GTQE7I
3 years ago,talk,NDC London 2020,A tale of two sides of 2FA,Christine Seeman,49:49,50,https://youtube.com/watch?v=yTtZQVSnz2M
3 years ago,talk,NDC London 2020,Drinking a river of IoT data with Akka.NET,Hannes Lowette,58:41,59,https://youtube.com/watch?v=2tFj0xR9Pf0
3 years ago,talk,NDC London 2020,Common API Security Pitfalls,Philippe De Ryck,49:32,50,https://youtube.com/watch?v=dDZNDVO5EFQ
3 years ago,talk,NDC London 2020,ML and the IoT: Living on the Edge,Brandon Satrom,1:01:14,61,https://youtube.com/watch?v=AGB3Ml_mIWc
3 years ago,talk,NDC London 2020,Lambda? You Keep Using that Letter,Kevlin Henney,1:00:53,61,https://youtube.com/watch?v=Y7StjYhXvpE
3 years ago,talk,NDC London 2020,How to Build a Magical Living Room,Saron Yitbarek,34:53,35,https://youtube.com/watch?v=2b7S0bDO0jw
3 years ago,talk,NDC London 2020,Continuous Integration and Delivery for Databases,Jimmy Bogard,59:42,60,https://youtube.com/watch?v=HdXDSjWe2Q8
